global_time_sec, state_time_sec, global_counter, state_counter, state_number, counter, state_text, laser_pwm_0,laser_pwm_1,laser_pwm_2,laser_pwm_3,tec_pwm_0,tec_pwm_1,tec_pwm_2,tec_pwm_3,fan_pwm,laser_temperatures_0,laser_temperatures_1,laser_temperatures_2,laser_temperatures_3,temper_set_points0,temper_set_points1,temper_set_points2,temper_set_points3, summed_laser_current, summed_tec_current
0.0,0.0,0,0,9,0,Zero_Cal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.33333333333333,66.90666666666667,66.02,64.24,0.0,0.0,0.0,0.0,2.4,2.6633333333333336
0.602,0.602,20,20,9,0,Zero_Cal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.88,60.71333333333333,61.04666666666667,60.32666666666667,0.0,0.0,0.0,0.0,2.61,2.828666666666667
1.205,1.205,40,40,9,0,Zero_Cal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.806666666666665,60.653333333333336,61.013333333333335,60.3,0.0,0.0,0.0,0.0,2.6106666666666665,2.828666666666667
1.807,0.271,60,9,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.72,68.47333333333333,67.14,65.06666666666666,0.0,0.0,0.0,0.0,1.2046666666666668,1.3693333333333333
2.409,0.873,80,29,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.06,63.72,63.20666666666666,61.88,0.0,0.0,0.0,0.0,0.0,0.0
3.011,1.475,100,49,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.42666666666666,72.06,69.88666666666667,67.13333333333334,0.0,0.0,0.0,0.0,0.0,0.0
3.614,2.078,120,69,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.846666666666664,57.93333333333333,58.61333333333334,58.22666666666667,0.0,0.0,0.0,0.0,0.14,0.114
4.216,2.68,140,89,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.35333333333334,72.0,69.84,67.08,0.0,0.0,0.0,0.0,0.0,0.0
4.818,3.282,160,109,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.48,64.83333333333333,64.08666666666667,62.526666666666664,0.0,0.0,0.0,0.0,0.0,0.0
5.42,3.884,180,129,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.06666666666667,63.71333333333333,63.193333333333335,61.82,0.0,0.0,0.0,0.0,0.0,0.0
6.023,4.487,200,149,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.85333333333334,73.18,70.75333333333333,67.77333333333333,0.0,0.0,0.0,0.0,0.0,0.0
6.625,5.089,220,169,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.68666666666667,57.766666666666666,58.42666666666667,58.04666666666667,0.0,0.0,0.0,0.0,0.15733333333333333,0.13266666666666665
7.227,5.691,240,189,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.99333333333334,70.9,68.92,66.35333333333334,0.0,0.0,0.0,0.0,0.0,0.0
7.829,6.293,260,209,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.37333333333333,64.75333333333333,64.01333333333334,62.446666666666665,0.0,0.0,0.0,0.0,0.0,0.0
8.431,6.895,280,229,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.32666666666667,62.306666666666665,62.04666666666667,60.9,0.0,0.0,0.0,0.0,0.007333333333333333,0.008666666666666666
9.034,7.498,300,249,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.93333333333334,73.25333333333333,70.84666666666666,67.90666666666667,0.0,0.0,0.0,0.0,0.0,0.0
9.636,8.1,320,269,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.31333333333333,59.11333333333334,59.54666666666667,58.946666666666665,0.0,0.0,0.0,0.0,0.104,0.08533333333333333
10.238,8.702,340,289,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.02,70.94666666666667,69.01333333333334,66.42666666666666,0.0,0.0,0.0,0.0,0.0,0.0
10.84,9.304,360,309,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.13333333333334,66.21333333333334,65.22666666666667,63.44,0.0,0.0,0.0,0.0,0.0,0.0
11.443,9.907,380,329,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.54666666666667,62.5,62.233333333333334,61.053333333333335,0.0,0.0,0.0,0.0,0.0,0.0
12.045,10.509,400,349,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.73333333333333,73.09333333333333,70.69333333333333,67.72666666666667,0.0,0.0,0.0,0.0,0.0,0.0
12.647,11.111,420,369,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44,57.56,58.24666666666667,57.89333333333333,0.0,0.0,0.0,0.0,0.166,0.13733333333333334
13.249,11.713,440,389,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.34,69.54,67.84666666666666,65.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0
13.852,12.316,460,409,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.90666666666667,65.97333333333333,64.97333333333333,63.2,0.0,0.0,0.0,0.0,0.0,0.0
14.454,12.918,480,429,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.42,62.38,62.1,60.92,0.0,0.0,0.0,0.0,0.007333333333333333,0.010666666666666666
15.056,13.52,500,449,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.17333333333333,74.24,71.58666666666667,68.43333333333334,0.0,0.0,0.0,0.0,0.0,0.0
15.658,14.122,520,469,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.18,58.99333333333333,59.406666666666666,58.806666666666665,0.0,0.0,0.0,0.0,0.11733333333333333,0.098
16.261,14.725,540,489,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3,69.51333333333334,67.8,65.43333333333334,0.0,0.0,0.0,0.0,0.0,0.0
16.863,15.327,560,509,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.89333333333333,65.97333333333333,64.98,63.21333333333333,0.0,0.0,0.0,0.0,0.0,0.0
17.465,15.929,580,529,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.86666666666667,61.14,61.12,60.166666666666664,0.0,0.0,0.0,0.0,0.04666666666666667,0.04
18.067,16.531,600,549,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.69333333333333,73.05333333333333,70.64,67.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0
18.67,17.134,620,569,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.88666666666666,58.733333333333334,59.18666666666667,58.626666666666665,0.0,0.0,0.0,0.0,0.12933333333333333,0.10866666666666666
19.272,17.736,640,589,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.2,69.42,67.72666666666667,65.36,0.0,0.0,0.0,0.0,0.0,0.0
19.874,18.338,660,609,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.22,67.04,65.82666666666667,63.86666666666667,0.0,0.0,0.0,0.0,0.0,0.0
20.476,18.94,680,629,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.92,61.166666666666664,61.14,60.166666666666664,0.0,0.0,0.0,0.0,0.048,0.042
21.078,19.542,700,649,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.12666666666667,74.16666666666667,71.51333333333334,68.32666666666667,0.0,0.0,0.0,0.0,0.0,0.0
21.681,20.145,720,669,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.04666666666667,58.88,59.306666666666665,58.74,0.0,0.0,0.0,0.0,0.122,0.09933333333333333
22.283,20.747,740,689,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.94,68.44666666666667,66.98,64.82666666666667,0.0,0.0,0.0,0.0,0.0,0.0
22.885,21.349,760,709,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.3,67.12666666666667,65.92666666666666,63.98,0.0,0.0,0.0,0.0,0.0,0.0
23.487,21.951,780,729,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.81333333333333,60.306666666666665,60.486666666666665,59.666666666666664,0.0,0.0,0.0,0.0,0.068,0.05733333333333333
24.09,22.554,800,749,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.31333333333333,74.37333333333333,71.74,68.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0
24.692,23.156,820,769,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.35333333333333,59.92,60.13333333333333,59.4,0.0,0.0,0.0,0.0,0.08666666666666667,0.07133333333333333
25.294,23.758,840,789,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.67333333333333,68.22,66.76666666666667,64.62666666666667,0.0,0.0,0.0,0.0,0.0,0.0
25.896,24.36,860,809,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.22,67.03333333333333,65.84666666666666,63.88666666666666,0.0,0.0,0.0,0.0,0.0,0.0
26.499,24.963,880,829,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.34,59.92666666666667,60.14666666666667,59.4,0.0,0.0,0.0,0.0,0.088,0.072
27.101,25.565,900,849,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.76,73.13333333333334,70.73333333333333,67.78,0.0,0.0,0.0,0.0,0.0,0.0
27.703,26.167,920,869,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.4,59.98,60.193333333333335,59.45333333333333,0.0,0.0,0.0,0.0,0.08266666666666667,0.068
28.305,26.769,940,889,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.77333333333333,68.28666666666666,66.84,64.68,0.0,0.0,0.0,0.0,0.0,0.0
28.908,27.372,960,909,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.80666666666667,68.32666666666667,66.85333333333334,64.68666666666667,0.0,0.0,0.0,0.0,0.0,0.0
29.51,27.974,980,929,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.4,59.95333333333333,60.17333333333333,59.43333333333333,0.0,0.0,0.0,0.0,0.08266666666666667,0.068
30.112,28.576,1000,949,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.39333333333333,74.4,71.72666666666667,68.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0
30.714,29.178,1020,969,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.96666666666667,59.57333333333333,59.85333333333333,59.14,0.0,0.0,0.0,0.0,0.10333333333333333,0.08733333333333333
31.316,29.78,1040,989,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.45333333333333,67.22666666666667,65.98666666666666,63.986666666666665,0.0,0.0,0.0,0.0,0.0,0.0
31.919,30.383,1060,1009,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.88,68.39333333333333,66.94,64.75333333333333,0.0,0.0,0.0,0.0,0.0,0.0
